isFraud,type,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
No,CASH_OUT,1,95636.49,0,0,359141.7,1363368.51
Yes,TRANSFER,1,181,181,0,0,0
Yes,CASH_OUT,1,181,181,0,21182,0
Yes,TRANSFER,1,2806,2806,0,0,0
Yes,CASH_OUT,1,2806,2806,0,26202,0
Yes,TRANSFER,1,20128,20128,0,0,0
Yes,CASH_OUT,1,20128,20128,0,6268,12145.85
Yes,CASH_OUT,1,416001.33,0,0,102,9291619.62
Yes,TRANSFER,1,1277212.77,1277212.77,0,0,0
Yes,CASH_OUT,1,1277212.77,1277212.77,0,0,2444985.19
Yes,TRANSFER,1,35063.63,35063.63,0,0,0
Yes,CASH_OUT,1,35063.63,35063.63,0,31140,7550.03
Yes,TRANSFER,1,25071.46,25071.46,0,0,0
Yes,CASH_OUT,1,25071.46,25071.46,0,9083.76,34155.22
Yes,CASH_OUT,1,132842.64,4499.08,0,0,132842.64
Yes,TRANSFER,1,235238.66,235238.66,0,0,0
Yes,CASH_OUT,1,235238.66,235238.66,0,0,235238.66
Yes,TRANSFER,2,1096187.24,1096187.24,0,0,0
Yes,CASH_OUT,2,1096187.24,1096187.24,0,0,1096187.24
Yes,TRANSFER,2,963532.14,963532.14,0,0,0
Yes,CASH_OUT,2,963532.14,963532.14,0,132382.57,1095914.71
Yes,TRANSFER,2,14949.84,14949.84,0,0,0
Yes,CASH_OUT,2,14949.84,14949.84,0,18161.79,33111.63
Yes,TRANSFER,2,18627.02,18627.02,0,0,0
Yes,CASH_OUT,2,18627.02,18627.02,0,147251.58,165878.6
Yes,TRANSFER,3,10539.37,10539.37,0,0,0
Yes,CASH_OUT,3,10539.37,10539.37,0,0,10539.37
Yes,TRANSFER,3,22877,22877,0,0,0
Yes,CASH_OUT,3,22877,22877,0,0,22877
Yes,TRANSFER,4,1.00E+07,12930418.44,2930418.44,0,0
Yes,CASH_OUT,4,1.00E+07,1.00E+07,0,0,9941904.21
Yes,TRANSFER,4,2930418.44,2930418.44,0,0,0
Yes,CASH_OUT,4,2930418.44,2930418.44,0,3616012.1,6963508.84
Yes,TRANSFER,4,169941.73,169941.73,0,0,0
Yes,CASH_OUT,4,169941.73,169941.73,0,0,169941.73
Yes,TRANSFER,4,13707.11,13707.11,0,0,0
Yes,CASH_OUT,4,13707.11,13707.11,0,0,13707.11
Yes,TRANSFER,4,86070.17,86070.17,0,0,0
Yes,CASH_OUT,4,86070.17,86070.17,0,0,86070.17
Yes,TRANSFER,5,120074.73,120074.73,0,0,0
Yes,CASH_OUT,5,120074.73,120074.73,0,0,120074.73
Yes,TRANSFER,5,60726.57,60726.57,0,0,0
Yes,CASH_OUT,5,60726.57,60726.57,0,13010502.78,13071229.35
Yes,TRANSFER,5,10119.47,10119.47,0,0,0
Yes,CASH_OUT,5,10119.47,10119.47,0,0,10119.47
No,CASH_OUT,6,259080.76,0,0,3611935.64,3871016.4
Yes,TRANSFER,6,33332.86,33332.86,0,0,0
Yes,CASH_OUT,6,33332.86,33332.86,0,31002,0
Yes,TRANSFER,6,25975.86,25975.86,0,0,0
Yes,CASH_OUT,6,25975.86,25975.86,0,98152,28041.27
Yes,TRANSFER,6,26768.5,26768.5,0,0,0
Yes,CASH_OUT,6,26768.5,26768.5,0,101976,128744.5
Yes,TRANSFER,6,30521.02,30521.02,0,0,0
Yes,CASH_OUT,6,30521.02,30521.02,0,0,30521.02
Yes,TRANSFER,6,216422,216422,0,0,0
Yes,CASH_OUT,6,216422,216422,0,10097,48630.5
Yes,TRANSFER,6,17320.91,17320.91,0,0,0
Yes,CASH_OUT,6,17320.91,17320.91,0,6244.44,0
Yes,TRANSFER,6,17246,17246,0,0,101717.84
Yes,CASH_OUT,6,17246,17246,0,0,17246
Yes,TRANSFER,6,10565,10565,0,0,0
Yes,CASH_OUT,6,10565,10565,0,36275,24380.72
Yes,TRANSFER,6,10224,10224,0,0,0
Yes,CASH_OUT,6,10224,10224,0,0,10224
Yes,TRANSFER,6,85354.69,85354.69,0,0,0
Yes,CASH_OUT,6,85354.69,85354.69,0,11170,10612.55
Yes,TRANSFER,6,13704,13704,0,0,1658746.09
Yes,CASH_OUT,6,13704,13704,0,3382.84,143675.35
No,TRANSFER,7,1103184.69,83873,0,10090,986103.34
No,TRANSFER,7,41324.88,0,0,2306192.98,4619940.36
